,date,sales,counts,clv,cust,recency,frequency,T,monetary_value
118,1997-01-01,41.69,1,0.0,119,0,0,545,41.69
119,1997-12-18,11.49,5,80.62417620829733,120,351,4,545,20.701999999999998
120,1997-01-01,12.49,1,0.0,121,0,0,545,12.49
121,1997-01-01,27.74,1,0.0,122,0,0,545,27.74
122,1997-01-01,31.99,1,0.0,123,0,0,545,31.99
123,1997-12-12,27.98,5,104.90074689323124,124,345,4,545,27.67
124,1998-06-08,26.48,6,53.825416420432504,125,523,5,545,18.106666666666666
125,1997-12-02,292.98,2,88.63950620705727,126,333,1,543,151.375
126,1997-01-01,39.71,1,0.0,127,0,0,545,39.71
127,1997-08-03,12.25,4,50.00203862289688,128,214,3,545,16.965
128,1997-01-01,12.49,1,0.0,129,0,0,545,12.49
129,1998-04-29,12.99,8,89.51276242361304,130,483,7,545,15.11875
130,1997-01-01,30.32,1,0.0,131,0,0,545,30.32
131,1998-05-11,41.56,6,188.03938254247768,132,495,5,545,50.405
132,1997-11-11,32.98,7,158.19092968447774,133,314,6,545,28.45285714285714
133,1998-01-08,21.49,3,7.527516375439474,134,372,2,545,16.459999999999994
134,1997-01-01,42.69,2,0.0,135,0,1,545,42.195
135,1997-11-26,36.98,2,27.477950017659666,136,329,1,545,40.98
136,1997-01-01,27.73,1,0.0,137,0,0,545,27.73
137,1997-01-01,14.99,1,0.0,138,0,0,545,14.99
138,1997-01-06,11.77,1,0.0,139,0,0,540,11.77
139,1997-05-03,15.36,2,10.010746228557863,140,122,1,545,22.03
140,1998-05-07,23.76,7,85.90223342084896,141,491,6,545,21.107142857142858
141,1998-04-11,24.49,5,40.548819078803355,142,464,4,544,24.478
142,1997-01-01,28.99,2,0.0,143,0,1,545,20.74
143,1997-01-01,30.72,1,0.0,144,0,0,545,30.72
144,1998-05-30,27.37,23,365.69776663106086,145,514,22,545,22.69391304347826
145,1997-01-01,13.97,1,0.0,146,0,0,545,13.97
146,1997-12-13,59.46,8,243.69085229268998,147,319,7,518,36.00875
147,1998-03-21,29.57,7,68.67728016569399,148,444,6,545,20.92
148,1997-01-24,51.67,2,5.324430891336787,149,23,1,545,53.27
149,1997-01-01,15.36,1,0.0,150,0,0,545,15.36
150,1997-01-01,13.97,1,0.0,151,0,0,545,13.97
151,1998-01-18,23.98,6,160.77548140137742,152,382,5,545,40.66
152,1997-01-01,6.79,1,0.0,153,0,0,545,6.79
153,1998-04-26,11.88,5,45.087340255327355,154,480,4,545,13.838
154,1997-01-01,23.99,1,0.0,155,0,0,545,23.99
155,1997-01-01,10.77,1,0.0,156,0,0,545,10.77
156,1997-02-26,52.27,2,8.714235624220878,157,56,1,545,40.105
157,1997-01-01,43.05,1,0.0,158,0,0,545,43.05
158,1997-01-01,19.75,1,0.0,159,0,0,545,19.75
159,1997-01-01,19.74,1,0.0,160,0,0,545,19.74
160,1998-06-01,36.98,11,240.1573203641302,161,516,10,545,37.900909090909096
161,1997-01-01,119.54,1,0.0,162,0,0,545,119.54
162,1997-01-01,25.74,1,0.0,163,0,0,545,25.74
163,1998-06-29,24.46,8,177.4946872553361,164,540,7,541,30.698750000000004
164,1998-06-01,8.99,3,0.0,165,516,2,545,11.583333333333336
165,1998-05-27,11.88,8,104.73155332424659,166,511,7,545,21.6475
166,1997-12-10,18.49,8,160.3543481746259,167,325,7,527,23.3075
167,1997-01-01,14.96,1,0.0,168,0,0,545,14.96
168,1997-01-01,11.77,1,0.0,169,0,0,545,11.77
169,1998-01-27,44.47,2,0.0,170,391,1,545,37.195
170,1997-01-01,14.96,1,0.0,171,0,0,545,14.96
171,1997-01-01,50.95,1,0.0,172,0,0,545,50.95
172,1998-04-03,31.47,2,0.0,173,457,1,545,24.915
173,1997-01-06,21.37,2,0.8959475987778096,174,5,1,545,18.365
174,1997-01-01,27.77,1,0.0,175,0,0,545,27.77
175,1997-01-01,11.77,1,0.0,176,0,0,545,11.77
176,1998-05-13,14.99,32,463.570037393368,177,497,31,545,17.814999999999994
177,1997-01-01,12.49,1,0.0,178,0,0,545,12.49
178,1998-02-24,11.88,11,131.85595672707123,179,419,10,545,15.82090909090909
179,1997-08-28,36.71,2,19.26804440647173,180,239,1,545,31.295
180,1997-01-01,43.7,1,0.0,181,0,0,545,43.7
181,1998-05-18,9.99,4,53.94800289074916,182,502,3,545,22.93
182,1997-01-01,9.99,1,0.0,183,0,0,545,9.99
183,1998-05-18,11.88,2,0.0,184,502,1,545,15.935
184,1998-05-22,27.98,5,3.976914920164544,185,449,4,488,23.038000000000004
185,1997-09-17,17.49,2,13.148967112356674,186,258,1,544,17.225
186,1997-02-02,4.79,2,3.0526925747792646,187,32,1,545,18.055
187,1997-01-01,13.77,1,0.0,188,0,0,545,13.77
188,1997-01-01,294.03,1,0.0,189,0,0,545,294.03
189,1997-01-01,15.36,1,0.0,190,0,0,545,15.36
190,1997-01-05,70.23,1,0.0,191,0,0,541,70.23
191,1997-08-01,14.96,6,116.6990680228608,192,212,5,545,26.705
192,1997-01-01,27.94,1,0.0,193,0,0,545,27.94
193,1997-01-11,86.89,2,6.4094719484735005,194,10,1,545,127.89
194,1998-01-20,14.49,7,81.58087889490025,195,379,6,540,16.255714285714287
195,1997-01-01,25.54,1,0.0,196,0,0,545,25.54
196,1997-05-05,28.99,3,32.587081593143296,197,124,2,545,17.99
197,1997-01-01,15.76,1,0.0,198,0,0,545,15.76
198,1997-01-01,14.37,1,0.0,199,0,0,545,14.37
199,1997-01-22,44.36,2,4.0790450909256695,200,21,1,545,42.145
200,1998-04-28,24.99,5,29.511900952294955,201,482,4,545,14.66
201,1997-01-02,32.52,2,1.7266556422129145,202,1,1,545,73.23
202,1997-07-24,13.97,4,47.10233227650445,203,204,3,545,15.9575
203,1997-01-15,72.23,1,0.0,204,0,0,531,72.23
204,1997-12-07,50.98,4,74.26253094309394,205,340,3,545,25.5175
205,1997-01-01,17.99,1,0.0,206,0,0,545,17.99
206,1997-11-16,39.97,3,60.70564385627077,207,319,2,545,31.42
207,1998-02-21,70.38,2,0.0,208,406,1,535,66.815
208,1997-03-15,19.99,3,41.00338742782079,209,55,2,527,38.723333333333336
209,1998-03-26,26.37,2,0.0,210,449,1,545,43.015
210,1997-01-01,7.78,1,0.0,211,0,0,545,7.78
211,1997-01-01,14.37,1,0.0,212,0,0,545,14.37
212,1997-01-19,11.77,2,1.4580473403826482,213,18,1,545,11.27
213,1997-10-21,39.97,7,174.56306255141328,214,293,6,545,31.745714285714282
214,1997-01-01,11.77,1,0.0,215,0,0,545,11.77
215,1997-01-01,13.97,1,0.0,216,0,0,545,13.97
216,1998-06-02,11.88,4,52.62428963791501,217,517,3,545,48.98
217,1997-02-06,57.48,1,0.0,218,0,0,509,57.48
218,1997-05-17,35.51,2,15.879213075038395,219,136,1,545,37.01
219,1997-01-01,57.85,1,0.0,220,0,0,545,57.85
220,1997-01-01,12.49,1,0.0,221,0,0,545,12.49
221,1997-10-30,40.98,3,56.07924738226468,222,302,2,545,28.77666666666666
222,1997-01-01,47.93,1,0.0,223,0,0,545,47.93
223,1997-01-01,28.33,1,0.0,224,0,0,545,28.33
224,1997-08-01,23.88,5,77.65561929038292,225,212,4,545,21.122
225,1998-05-05,43.47,6,76.04140835451345,226,488,5,544,28.35333333333333
226,1997-08-24,14.37,5,119.1437215855246,227,235,4,545,32.916000000000004
227,1998-01-06,29.99,13,261.57573151945246,228,370,12,545,26.13769230769231
228,1998-06-27,19.49,5,31.616766121889448,229,542,4,545,16.698
229,1997-06-06,39.98,2,18.43567989711936,230,156,1,545,39.98
230,1997-01-01,69.04,1,0.0,231,0,0,545,69.04
231,1997-01-01,42.98,1,0.0,232,0,0,545,42.98
232,1997-01-01,12.99,1,0.0,233,0,0,545,12.99
233,1997-02-04,9.99,2,2.5016118093934483,234,34,1,545,11.98
234,1997-01-01,7.98,1,0.0,235,0,0,545,7.98
235,1997-01-01,16.7,1,0.0,236,0,0,545,16.7
236,1997-01-01,23.54,1,0.0,237,0,0,545,23.54
237,1997-07-27,73.22,5,218.037041133467,238,185,4,523,61.03799999999999
238,1997-01-01,28.74,1,0.0,239,0,0,545,28.74
239,1997-03-08,14.96,2,5.010489219810896,240,66,1,545,15.475
240,1998-05-09,24.48,4,9.137080380226962,241,478,3,530,25.1375
241,1997-01-17,30.32,2,2.7143372385145272,242,16,1,545,32.715
242,1997-01-02,17.96,1,0.0,243,0,0,544,17.96
243,1998-06-10,12.99,25,831.7043287127806,244,525,24,545,51.4964
244,1998-06-11,13.99,7,57.95083203026123,245,526,6,545,21.25
245,1998-06-20,50.85,20,503.5487401954026,246,534,19,544,37.509
246,1998-05-12,30.98,4,47.71459454343116,247,463,3,512,23.5375
247,1997-01-02,14.37,1,0.0,248,0,0,544,14.37
248,1997-02-19,30.99,3,26.474844058321448,249,48,2,544,30.76
249,1997-08-23,33.74,3,64.98053309680111,250,233,2,544,34.85666666666666
250,1997-01-02,40.26,1,0.0,251,0,0,544,40.26
251,1998-06-10,12.99,6,2.742626689720168,252,524,5,544,58.04333333333333
252,1997-01-02,13.97,1,0.0,253,0,0,544,13.97
253,1997-01-02,15.96,1,0.0,254,0,0,544,15.96
254,1997-01-02,11.77,1,0.0,255,0,0,544,11.77
255,1997-04-14,29.99,3,41.55557498829517,256,102,2,544,26.52666666666667
256,1998-04-09,14.99,3,15.744641061704652,257,462,2,544,18.58333333333333
257,1997-01-02,59.97,1,0.0,258,0,0,544,59.97
258,1997-01-02,14.79,1,0.0,259,0,0,544,14.79
259,1997-01-05,57.27,1,0.0,260,0,0,541,57.27
260,1997-01-02,8.77,1,0.0,261,0,0,544,8.77
261,1997-01-02,48.95,1,0.0,262,0,0,544,48.95
262,1997-01-02,14.79,1,0.0,263,0,0,544,14.79
263,1997-01-02,16.99,1,0.0,264,0,0,544,16.99
264,1997-02-20,11.77,3,38.06174841499558,265,49,2,544,45.20000000000001
265,1997-01-27,59.31,2,5.3902310307267465,266,25,1,544,49.64
266,1997-01-02,37.47,1,0.0,267,0,0,544,37.47
267,1997-03-24,7.78,1,0.0,268,0,0,463,7.78
268,1997-02-15,29.99,1,0.0,269,0,0,500,29.99
269,1997-01-24,179.4,2,11.865439947572307,270,22,1,544,134.585
270,1997-01-02,12.77,1,0.0,271,0,0,544,12.77
271,1997-04-05,9.98,3,22.39375264091939,272,93,2,544,12.903333333333334
272,1997-03-25,14.96,2,4.869758817448375,273,82,1,544,10.875
273,1997-01-02,5.78,1,0.0,274,0,0,544,5.78
274,1997-01-02,60.47,1,0.0,275,0,0,544,60.47
275,1998-06-01,13.99,4,62.949782601769336,276,515,3,544,29.5875
276,1998-03-09,13.99,2,0.0,277,431,1,544,15.945
277,1997-01-02,23.97,1,0.0,278,0,0,544,23.97
278,1997-08-14,56.21,3,83.87378412136114,279,224,2,544,46.60333333333333
279,1997-04-28,12.49,3,126.63605080992343,280,116,2,544,85.48333333333333
280,1997-01-02,14.7,1,0.0,281,0,0,544,14.7
281,1997-01-02,53.88,1,0.0,282,0,0,544,53.88
282,1997-01-02,37.71,1,0.0,283,0,0,544,37.71
283,1997-01-02,20.0,1,0.0,284,0,0,544,20.0
284,1997-01-02,25.99,1,0.0,285,0,0,544,25.99
285,1997-01-13,45.91,2,2.649762172910292,286,11,1,544,43.635
286,1997-01-02,13.97,1,0.0,287,0,0,544,13.97
287,1997-05-02,13.97,2,7.558878530022758,288,120,1,544,14.465
288,1997-02-08,9.77,2,2.4822532817333154,289,37,1,544,10.27
289,1997-01-02,49.98,1,0.0,290,0,0,544,49.98
290,1997-01-02,199.15,1,0.0,291,0,0,544,199.15
291,1998-01-07,13.99,4,35.10601666354321,292,370,3,544,16.47
292,1998-03-20,75.03,2,0.0,293,442,1,544,86.89
293,1997-11-21,12.99,2,13.141532303393586,294,306,1,527,13.68
294,1998-03-27,109.33,4,160.61488319659318,295,449,3,544,96.645
295,1997-01-02,25.53,1,0.0,296,0,0,544,25.53
296,1997-01-02,14.96,1,0.0,297,0,0,544,14.96
297,1997-01-02,68.04,1,0.0,298,0,0,544,68.04
298,1997-11-06,13.99,2,11.110352535399656,299,308,1,544,11.38
299,1998-06-26,14.49,22,196.12178005930505,300,458,21,462,24.47409090909092
300,1997-11-11,48.47,4,120.28144061864822,301,313,3,544,43.345
301,1997-01-02,27.13,1,0.0,302,0,0,544,27.13
302,1997-01-02,10.77,1,0.0,303,0,0,544,10.77
303,1997-05-27,24.53,5,68.12630300281316,304,145,4,544,22.668000000000003
304,1997-11-05,81.44,2,45.488423376209354,305,307,1,544,76.13499999999998
305,1997-01-02,30.99,1,0.0,306,0,0,544,30.99
306,1997-02-27,28.45,1,0.0,307,0,0,488,28.45
307,1997-01-02,12.77,1,0.0,308,0,0,544,12.77
308,1997-03-16,52.5,1,0.0,309,0,0,471,52.5
309,1997-01-07,39.32,1,0.0,310,0,0,539,39.32
310,1997-01-02,69.25,1,0.0,311,0,0,544,69.25
311,1997-12-21,14.99,2,34.171007459392364,312,353,1,544,51.365
312,1998-05-24,34.98,20,1823.4168679208656,313,507,19,544,121.6145
313,1997-01-13,60.25,3,6.2361141410984375,314,11,2,544,77.04333333333334
314,1997-03-15,13.97,3,21.12167691768924,315,32,2,504,29.62
315,1997-07-31,10.77,4,52.71373729359749,316,210,3,544,18.0575
316,1998-02-06,36.48,5,66.4006675071056,317,400,4,544,46.23
317,1998-01-12,25.98,3,2.7887125666607644,318,375,2,544,21.496666666666666
318,1997-01-07,14.96,2,0.9812397520938037,319,5,1,544,20.845
319,1997-01-02,9.99,1,0.0,320,0,0,544,9.99
320,1997-01-02,103.05,1,0.0,321,0,0,544,103.05
321,1997-07-05,26.56,2,14.72237531344542,322,184,1,544,26.165
322,1998-06-22,19.99,9,126.72043825437076,323,536,8,544,45.861111111111114
323,1997-09-27,37.47,2,19.528947141308148,324,268,1,544,29.505
324,1997-01-02,72.82,1,0.0,325,0,0,544,72.82
325,1997-01-02,14.37,1,0.0,326,0,0,544,14.37
326,1997-01-02,40.7,1,0.0,327,0,0,544,40.7
327,1998-06-30,27.98,24,276.37299109241314,328,544,23,544,28.85916666666668
328,1998-02-27,11.88,5,5.3498573875871935,329,421,4,544,18.794
329,1997-01-02,14.96,1,0.0,330,0,0,544,14.96
330,1997-01-02,16.36,1,0.0,331,0,0,544,16.36
331,1997-01-02,15.36,1,0.0,332,0,0,544,15.36
332,1997-01-02,15.9,1,0.0,333,0,0,544,15.9
333,1997-01-02,40.11,1,0.0,334,0,0,544,40.11
334,1997-01-06,14.96,2,0.6737527690044572,335,4,1,544,13.365
335,1997-01-02,11.77,1,0.0,336,0,0,544,11.77
336,1998-04-30,14.49,2,0.0,337,464,1,525,19.015
337,1997-01-02,25.74,1,0.0,338,0,0,544,25.74
338,1997-11-21,84.45,5,295.8620619408202,339,323,4,544,82.368
339,1997-01-02,46.3,1,0.0,340,0,0,544,46.3
340,1997-07-27,80.46,2,27.590449350267193,341,206,1,544,53.3
341,1997-01-02,17.9,1,0.0,342,0,0,544,17.9
342,1997-11-02,35.47,4,122.7015506726867,343,304,3,544,44.3575
343,1998-05-25,31.98,17,361.95045112471496,344,508,16,544,34.12470588235295
344,1997-10-31,78.48,2,28.819330669628226,345,302,1,544,45.125
345,1997-01-02,26.76,1,0.0,346,0,0,544,26.76
346,1997-01-02,15.36,1,0.0,347,0,0,544,15.36
347,1997-07-26,67.53,2,25.529411637231068,348,205,1,544,48.76
348,1997-01-02,44.88,1,0.0,349,0,0,544,44.88
349,1997-01-02,46.37,1,0.0,350,0,0,544,46.37
350,1997-01-02,8.77,1,0.0,351,0,0,544,8.77
351,1997-02-05,11.77,2,2.0937888452211864,352,34,1,544,8.379999999999999
352,1997-02-12,40.47,2,6.027883393612059,353,41,1,544,34.615
353,1997-01-02,14.99,1,0.0,354,0,0,544,14.99
354,1997-01-07,39.3,2,1.6458471081489812,355,5,1,544,41.405
355,1997-01-02,28.74,1,0.0,356,0,0,544,28.74
356,1997-02-05,53.54,2,6.4644802764310265,357,34,1,544,45.725
357,1998-05-06,15.49,5,17.467744670504718,358,489,4,544,23.784000000000002
358,1997-01-02,76.45,1,0.0,359,0,0,544,76.45
359,1998-05-25,23.87,6,39.42159510663607,360,508,5,544,17.125
360,1998-02-22,23.76,2,0.0,361,416,1,544,18.865
361,1997-01-02,20.0,4,0.0,362,0,3,544,14.5
362,1997-01-03,19.97,2,0.5874774636300436,363,1,1,544,18.48
363,1997-01-06,29.97,1,0.0,364,0,0,540,29.97
364,1998-03-22,25.98,12,188.8943092921625,365,444,11,544,24.816666666666666
365,1997-01-02,15.36,1,0.0,366,0,0,544,15.36
366,1997-01-02,44.77,1,0.0,367,0,0,544,44.77
367,1997-10-06,74.94,2,39.27408576567858,368,277,1,544,67.78999999999999
368,1997-01-02,7.98,1,0.0,369,0,0,544,7.98
369,1997-12-22,40.47,4,134.2680161772845,370,354,3,544,48.4725
370,1997-12-12,20.48,2,15.144244082662592,371,344,1,544,17.735
371,1997-04-22,21.77,2,7.985548509795308,372,94,1,528,18.365
372,1998-01-05,15.49,9,167.45671895276845,373,368,8,544,29.13111111111111
373,1998-06-14,101.93,7,4.418577430758304,374,528,6,544,35.402857142857144
374,1997-08-10,11.77,4,75.11363483342805,375,220,3,544,26.8525
375,1998-06-12,25.16,3,17.326452771446906,376,525,2,543,30.27
376,1997-01-02,38.5,1,0.0,377,0,0,544,38.5
377,1997-02-03,14.9,2,2.7179460833749034,378,32,1,544,14.9
378,1997-02-02,9.77,4,4.40328094796305,379,31,3,544,22.4625
379,1997-01-04,47.08,1,0.0,380,0,0,542,47.08
380,1997-07-09,16.65,3,34.35106021622334,381,188,2,544,16.80333333333333
381,1997-01-02,12.49,1,0.0,382,0,0,544,12.49
382,1997-01-02,30.72,1,0.0,383,0,0,544,30.72
383,1997-01-02,11.97,1,0.0,384,0,0,544,11.97
384,1997-06-22,14.99,2,8.068235348905791,385,171,1,544,10.89
385,1997-01-02,18.99,1,0.0,386,0,0,544,18.99
386,1998-06-05,44.98,13,418.20733985729515,387,519,12,544,64.7023076923077
387,1997-01-02,10.77,1,0.0,388,0,0,544,10.77
388,1998-06-06,55.35,10,172.21896409932026,389,520,9,544,57.176
389,1997-01-04,15.36,1,0.0,390,0,0,542,15.36
390,1997-01-03,32.0,1,0.0,391,0,0,543,32.0
391,1997-01-02,58.91,1,0.0,392,0,0,544,58.91
392,1997-01-02,29.16,1,0.0,393,0,0,544,29.16
393,1997-01-18,29.76,2,2.448984265352277,394,16,1,544,28.375
394,1997-01-02,26.99,1,0.0,395,0,0,544,26.99
395,1998-06-01,28.99,7,122.42087754789098,396,515,6,544,37.23142857142857
396,1997-05-01,62.49,2,19.38037244180815,397,119,1,544,52.315
397,1998-06-30,28.48,44,818.0646342872329,398,544,43,544,35.666590909090914
398,1997-02-05,27.96,2,4.669529242035923,399,33,1,543,31.16
399,1998-03-15,12.58,9,100.008128991813,400,437,8,544,16.862222222222226
400,1997-01-02,41.74,1,0.0,401,0,0,544,41.74
401,1997-01-04,13.97,2,0.5203271644050514,402,2,1,544,12.37
402,1997-01-02,11.77,1,0.0,403,0,0,544,11.77
403,1998-04-20,20.98,7,85.55316825092612,404,473,6,544,19.88285714285714
404,1997-01-02,14.99,1,0.0,405,0,0,544,14.99
405,1998-05-06,66.48,5,19.99039043893732,406,489,4,544,43.84200000000001
406,1997-01-06,21.74,1,0.0,407,0,0,540,21.74
407,1997-01-02,25.99,1,0.0,408,0,0,544,25.99
408,1997-01-02,14.37,1,0.0,409,0,0,544,14.37
409,1997-11-17,12.99,2,16.72370354426516,410,319,1,544,21.485
