cust,date,sales,counts,clv
76,1997-01-01,9.99,1,0.0
77,1997-01-01,12.97,1,0.0
78,1998-04-23,53.74,2,0.0
79,1997-01-01,77.44,1,0.0
80,1997-01-01,43.46,1,0.0
81,1997-09-27,12.99,14,335.6845390744705
82,1998-04-10,40.29,6,112.80468241409388
83,1998-04-18,21.49,4,50.60842784114285
84,1997-01-01,13.97,1,0.0
85,1997-01-03,26.31,1,0.0
86,1997-01-01,23.94,1,0.0
87,1997-10-08,27.98,4,140.33152501189392
88,1997-10-22,19.98,2,16.086122903957726
89,1998-06-10,40.99,18,378.5727615557152
90,1997-01-08,11.77,2,0.8280753958242292
91,1997-01-01,32.54,1,0.0
92,1997-04-16,17.36,2,10.33663081806986
93,1997-01-03,97.24,2,2.8178615027509815
94,1997-01-02,44.1,1,0.0
95,1998-06-24,49.43,29,748.5726568770089
96,1998-06-27,49.96,19,967.9487921176174
97,1998-03-28,23.37,4,49.749529087134526
98,1997-05-23,30.32,2,16.759198871947163
99,1997-12-16,65.99,7,210.47578004995688
100,1998-04-20,28.98,3,12.537801725352859
101,1997-01-18,23.54,1,0.0
102,1998-03-01,105.62,4,37.0599422069894
103,1998-04-17,29.66,3,10.031084193541716
104,1997-01-01,14.96,1,0.0
105,1997-01-01,35.31,1,0.0
106,1998-01-31,44.97,6,118.21509480680936
107,1997-01-01,21.99,1,0.0
108,1997-01-01,17.96,1,0.0
109,1997-02-02,132.57,2,9.384147167727988
110,1997-01-01,27.94,1,0.0
111,1998-06-20,55.47,16,578.5339402569052
112,1997-02-05,11.77,2,2.5370860228547016
113,1998-03-07,11.49,3,0.0
114,1998-02-11,28.98,5,44.87886393808621
115,1997-01-01,13.97,1,0.0
116,1997-01-01,12.77,1,0.0
117,1998-03-19,15.49,3,14.846721374818824
118,1997-06-24,58.49,2,18.474075029675628
119,1997-01-01,41.69,1,0.0
120,1997-12-18,11.49,5,80.62417620829733
121,1997-01-01,12.49,1,0.0
122,1997-01-01,27.74,1,0.0
123,1997-01-01,31.99,1,0.0
124,1997-12-12,27.98,5,104.90074689323124
125,1998-06-08,26.48,6,53.825416420432504
126,1997-12-02,292.98,2,88.63950620705727
127,1997-01-01,39.71,1,0.0
128,1997-08-03,12.25,4,50.00203862289688
129,1997-01-01,12.49,1,0.0
130,1998-04-29,12.99,8,89.51276242361304
131,1997-01-01,30.32,1,0.0
132,1998-05-11,41.56,6,188.03938254247768
133,1997-11-11,32.98,7,158.19092968447774
134,1998-01-08,21.49,3,7.527516375439474
135,1997-01-01,42.69,2,0.0
136,1997-11-26,36.98,2,27.477950017659666
137,1997-01-01,27.73,1,0.0
138,1997-01-01,14.99,1,0.0
139,1997-01-06,11.77,1,0.0
140,1997-05-03,15.36,2,10.010746228557863
141,1998-05-07,23.76,7,85.90223342084896
142,1998-04-11,24.49,5,40.548819078803355
143,1997-01-01,28.99,2,0.0
144,1997-01-01,30.72,1,0.0
145,1998-05-30,27.37,23,365.69776663106086
146,1997-01-01,13.97,1,0.0
147,1997-12-13,59.46,8,243.69085229268998
148,1998-03-21,29.57,7,68.67728016569399
149,1997-01-24,51.67,2,5.324430891336787
150,1997-01-01,15.36,1,0.0
151,1997-01-01,13.97,1,0.0
152,1998-01-18,23.98,6,160.77548140137742
153,1997-01-01,6.79,1,0.0
154,1998-04-26,11.88,5,45.087340255327355
155,1997-01-01,23.99,1,0.0
156,1997-01-01,10.77,1,0.0
157,1997-02-26,52.27,2,8.714235624220878
158,1997-01-01,43.05,1,0.0
159,1997-01-01,19.75,1,0.0
160,1997-01-01,19.74,1,0.0
161,1998-06-01,36.98,11,240.1573203641302
162,1997-01-01,119.54,1,0.0
163,1997-01-01,25.74,1,0.0
164,1998-06-29,24.46,8,177.4946872553361
165,1998-06-01,8.99,3,0.0
166,1998-05-27,11.88,8,104.73155332424659
167,1997-12-10,18.49,8,160.3543481746259
168,1997-01-01,14.96,1,0.0
169,1997-01-01,11.77,1,0.0
170,1998-01-27,44.47,2,0.0
171,1997-01-01,14.96,1,0.0
172,1997-01-01,50.95,1,0.0
173,1998-04-03,31.47,2,0.0
174,1997-01-06,21.37,2,0.8959475987778096
175,1997-01-01,27.77,1,0.0
176,1997-01-01,11.77,1,0.0
177,1998-05-13,14.99,32,463.570037393368
178,1997-01-01,12.49,1,0.0
179,1998-02-24,11.88,11,131.85595672707123
180,1997-08-28,36.71,2,19.26804440647173
181,1997-01-01,43.7,1,0.0
182,1998-05-18,9.99,4,53.94800289074916
183,1997-01-01,9.99,1,0.0
184,1998-05-18,11.88,2,0.0
185,1998-05-22,27.98,5,3.976914920164544
186,1997-09-17,17.49,2,13.148967112356674
187,1997-02-02,4.79,2,3.0526925747792646
188,1997-01-01,13.77,1,0.0
189,1997-01-01,294.03,1,0.0
190,1997-01-01,15.36,1,0.0
191,1997-01-05,70.23,1,0.0
192,1997-08-01,14.96,6,116.6990680228608
193,1997-01-01,27.94,1,0.0
194,1997-01-11,86.89,2,6.4094719484735005
195,1998-01-20,14.49,7,81.58087889490025
196,1997-01-01,25.54,1,0.0
197,1997-05-05,28.99,3,32.587081593143296
198,1997-01-01,15.76,1,0.0
199,1997-01-01,14.37,1,0.0
200,1997-01-22,44.36,2,4.0790450909256695
201,1998-04-28,24.99,5,29.511900952294955
202,1997-01-02,32.52,2,1.7266556422129145
203,1997-07-24,13.97,4,47.10233227650445
204,1997-01-15,72.23,1,0.0
205,1997-12-07,50.98,4,74.26253094309394
206,1997-01-01,17.99,1,0.0
207,1997-11-16,39.97,3,60.70564385627077
208,1998-02-21,70.38,2,0.0
209,1997-03-15,19.99,3,41.00338742782079
210,1998-03-26,26.37,2,0.0
211,1997-01-01,7.78,1,0.0
212,1997-01-01,14.37,1,0.0
213,1997-01-19,11.77,2,1.4580473403826482
214,1997-10-21,39.97,7,174.56306255141328
215,1997-01-01,11.77,1,0.0
216,1997-01-01,13.97,1,0.0
217,1998-06-02,11.88,4,52.62428963791501
218,1997-02-06,57.48,1,0.0
219,1997-05-17,35.51,2,15.879213075038395
220,1997-01-01,57.85,1,0.0
221,1997-01-01,12.49,1,0.0
222,1997-10-30,40.98,3,56.07924738226468
223,1997-01-01,47.93,1,0.0
224,1997-01-01,28.33,1,0.0
225,1997-08-01,23.88,5,77.65561929038292
226,1998-05-05,43.47,6,76.04140835451345
227,1997-08-24,14.37,5,119.1437215855246
228,1998-01-06,29.99,13,261.57573151945246
229,1998-06-27,19.49,5,31.616766121889448
230,1997-06-06,39.98,2,18.43567989711936
231,1997-01-01,69.04,1,0.0
232,1997-01-01,42.98,1,0.0
233,1997-01-01,12.99,1,0.0
234,1997-02-04,9.99,2,2.5016118093934483
235,1997-01-01,7.98,1,0.0
236,1997-01-01,16.7,1,0.0
237,1997-01-01,23.54,1,0.0
238,1997-07-27,73.22,5,218.037041133467
239,1997-01-01,28.74,1,0.0
240,1997-03-08,14.96,2,5.010489219810896
241,1998-05-09,24.48,4,9.137080380226962
242,1997-01-17,30.32,2,2.7143372385145272
243,1997-01-02,17.96,1,0.0
244,1998-06-10,12.99,25,831.7043287127806
245,1998-06-11,13.99,7,57.95083203026123
246,1998-06-20,50.85,20,503.5487401954026
247,1998-05-12,30.98,4,47.71459454343116
248,1997-01-02,14.37,1,0.0
249,1997-02-19,30.99,3,26.474844058321448
250,1997-08-23,33.74,3,64.98053309680111
251,1997-01-02,40.26,1,0.0
252,1998-06-10,12.99,6,2.742626689720168
253,1997-01-02,13.97,1,0.0
254,1997-01-02,15.96,1,0.0
255,1997-01-02,11.77,1,0.0
256,1997-04-14,29.99,3,41.55557498829517
257,1998-04-09,14.99,3,15.744641061704652
258,1997-01-02,59.97,1,0.0
259,1997-01-02,14.79,1,0.0
260,1997-01-05,57.27,1,0.0
261,1997-01-02,8.77,1,0.0
262,1997-01-02,48.95,1,0.0
263,1997-01-02,14.79,1,0.0
264,1997-01-02,16.99,1,0.0
265,1997-02-20,11.77,3,38.06174841499558
266,1997-01-27,59.31,2,5.3902310307267465
267,1997-01-02,37.47,1,0.0
268,1997-03-24,7.78,1,0.0
269,1997-02-15,29.99,1,0.0
270,1997-01-24,179.4,2,11.865439947572307
271,1997-01-02,12.77,1,0.0
272,1997-04-05,9.98,3,22.39375264091939
273,1997-03-25,14.96,2,4.869758817448375
274,1997-01-02,5.78,1,0.0
275,1997-01-02,60.47,1,0.0
276,1998-06-01,13.99,4,62.949782601769336
277,1998-03-09,13.99,2,0.0
278,1997-01-02,23.97,1,0.0
279,1997-08-14,56.21,3,83.87378412136114
280,1997-04-28,12.49,3,126.63605080992343
281,1997-01-02,14.7,1,0.0
282,1997-01-02,53.88,1,0.0
283,1997-01-02,37.71,1,0.0
284,1997-01-02,20.0,1,0.0
285,1997-01-02,25.99,1,0.0
286,1997-01-13,45.91,2,2.649762172910292
287,1997-01-02,13.97,1,0.0
288,1997-05-02,13.97,2,7.558878530022758
289,1997-02-08,9.77,2,2.4822532817333154
290,1997-01-02,49.98,1,0.0
291,1997-01-02,199.15,1,0.0
292,1998-01-07,13.99,4,35.10601666354321
293,1998-03-20,75.03,2,0.0
294,1997-11-21,12.99,2,13.141532303393586
295,1998-03-27,109.33,4,160.61488319659318
296,1997-01-02,25.53,1,0.0
297,1997-01-02,14.96,1,0.0
298,1997-01-02,68.04,1,0.0
299,1997-11-06,13.99,2,11.110352535399656
300,1998-06-26,14.49,22,196.12178005930505
301,1997-11-11,48.47,4,120.28144061864822
302,1997-01-02,27.13,1,0.0
303,1997-01-02,10.77,1,0.0
304,1997-05-27,24.53,5,68.12630300281316
305,1997-11-05,81.44,2,45.488423376209354
306,1997-01-02,30.99,1,0.0
307,1997-02-27,28.45,1,0.0
308,1997-01-02,12.77,1,0.0
309,1997-03-16,52.5,1,0.0
310,1997-01-07,39.32,1,0.0
311,1997-01-02,69.25,1,0.0
312,1997-12-21,14.99,2,34.171007459392364
313,1998-05-24,34.98,20,1823.4168679208656
314,1997-01-13,60.25,3,6.2361141410984375
315,1997-03-15,13.97,3,21.12167691768924
316,1997-07-31,10.77,4,52.71373729359749
317,1998-02-06,36.48,5,66.4006675071056
318,1998-01-12,25.98,3,2.7887125666607644
319,1997-01-07,14.96,2,0.9812397520938037
320,1997-01-02,9.99,1,0.0
321,1997-01-02,103.05,1,0.0
322,1997-07-05,26.56,2,14.72237531344542
323,1998-06-22,19.99,9,126.72043825437076
324,1997-09-27,37.47,2,19.528947141308148
325,1997-01-02,72.82,1,0.0
326,1997-01-02,14.37,1,0.0
327,1997-01-02,40.7,1,0.0
328,1998-06-30,27.98,24,276.37299109241314
329,1998-02-27,11.88,5,5.3498573875871935
330,1997-01-02,14.96,1,0.0
331,1997-01-02,16.36,1,0.0
332,1997-01-02,15.36,1,0.0
333,1997-01-02,15.9,1,0.0
334,1997-01-02,40.11,1,0.0
335,1997-01-06,14.96,2,0.6737527690044572
336,1997-01-02,11.77,1,0.0
337,1998-04-30,14.49,2,0.0
338,1997-01-02,25.74,1,0.0
339,1997-11-21,84.45,5,295.8620619408202
340,1997-01-02,46.3,1,0.0
341,1997-07-27,80.46,2,27.590449350267193
342,1997-01-02,17.9,1,0.0
343,1997-11-02,35.47,4,122.7015506726867
344,1998-05-25,31.98,17,361.95045112471496
345,1997-10-31,78.48,2,28.819330669628226
346,1997-01-02,26.76,1,0.0
347,1997-01-02,15.36,1,0.0
348,1997-07-26,67.53,2,25.529411637231068
349,1997-01-02,44.88,1,0.0
350,1997-01-02,46.37,1,0.0
351,1997-01-02,8.77,1,0.0
352,1997-02-05,11.77,2,2.0937888452211864
353,1997-02-12,40.47,2,6.027883393612059
354,1997-01-02,14.99,1,0.0
355,1997-01-07,39.3,2,1.6458471081489812
356,1997-01-02,28.74,1,0.0
357,1997-02-05,53.54,2,6.4644802764310265
358,1998-05-06,15.49,5,17.467744670504718
359,1997-01-02,76.45,1,0.0
360,1998-05-25,23.87,6,39.42159510663607
361,1998-02-22,23.76,2,0.0
362,1997-01-02,20.0,4,0.0
363,1997-01-03,19.97,2,0.5874774636300436
364,1997-01-06,29.97,1,0.0
365,1998-03-22,25.98,12,188.8943092921625
366,1997-01-02,15.36,1,0.0
367,1997-01-02,44.77,1,0.0
368,1997-10-06,74.94,2,39.27408576567858
369,1997-01-02,7.98,1,0.0
370,1997-12-22,40.47,4,134.2680161772845
371,1997-12-12,20.48,2,15.144244082662592
372,1997-04-22,21.77,2,7.985548509795308
373,1998-01-05,15.49,9,167.45671895276845
374,1998-06-14,101.93,7,4.418577430758304
375,1997-08-10,11.77,4,75.11363483342805
376,1998-06-12,25.16,3,17.326452771446906
377,1997-01-02,38.5,1,0.0
378,1997-02-03,14.9,2,2.7179460833749034
379,1997-02-02,9.77,4,4.40328094796305
380,1997-01-04,47.08,1,0.0
381,1997-07-09,16.65,3,34.35106021622334
382,1997-01-02,12.49,1,0.0
383,1997-01-02,30.72,1,0.0
384,1997-01-02,11.97,1,0.0
385,1997-06-22,14.99,2,8.068235348905791
386,1997-01-02,18.99,1,0.0
387,1998-06-05,44.98,13,418.20733985729515
388,1997-01-02,10.77,1,0.0
389,1998-06-06,55.35,10,172.21896409932026
390,1997-01-04,15.36,1,0.0
391,1997-01-03,32.0,1,0.0
392,1997-01-02,58.91,1,0.0
393,1997-01-02,29.16,1,0.0
394,1997-01-18,29.76,2,2.448984265352277
395,1997-01-02,26.99,1,0.0
396,1998-06-01,28.99,7,122.42087754789098
397,1997-05-01,62.49,2,19.38037244180815
398,1998-06-30,28.48,44,818.0646342872329
399,1997-02-05,27.96,2,4.669529242035923
400,1998-03-15,12.58,9,100.008128991813
401,1997-01-02,41.74,1,0.0
402,1997-01-04,13.97,2,0.5203271644050514
403,1997-01-02,11.77,1,0.0
404,1998-04-20,20.98,7,85.55316825092612
405,1997-01-02,14.99,1,0.0
406,1998-05-06,66.48,5,19.99039043893732
407,1997-01-06,21.74,1,0.0
408,1997-01-02,25.99,1,0.0
409,1997-01-02,14.37,1,0.0
410,1997-11-17,12.99,2,16.72370354426516
411,1998-01-02,104.96,20,1383.0125029473113
412,1998-01-17,10.49,2,0.0
413,1997-01-02,25.94,1,0.0
414,1997-02-12,43.95,1,0.0
415,1997-01-02,31.99,1,0.0
416,1997-01-02,47.98,1,0.0
417,1997-09-04,29.73,4,144.38750489706456
418,1997-01-02,24.98,1,0.0
419,1997-01-02,108.72,1,0.0
420,1997-01-02,16.36,1,0.0
421,1997-07-01,124.29,5,137.21164015432538
422,1997-05-14,113.35,5,112.01504682639845
423,1997-01-02,24.99,1,0.0
424,1998-06-10,14.49,8,184.36192774193185
425,1997-01-02,14.99,1,0.0
426,1997-01-02,10.99,1,0.0
427,1997-01-02,11.97,1,0.0
428,1997-01-02,14.99,1,0.0
429,1998-06-14,59.49,3,13.012395469526286
430,1998-05-13,30.98,4,27.409386123984728
431,1998-06-16,57.46,6,180.6707748863172
432,1997-01-02,64.44,1,0.0
433,1998-06-15,85.45,7,157.41576017022064
434,1997-01-02,33.31,1,0.0
435,1997-01-02,40.7,1,0.0
436,1997-05-29,13.97,5,93.70873606805898
437,1997-01-02,28.13,1,0.0
438,1997-01-02,24.96,1,0.0
439,1997-01-02,41.11,1,0.0
440,1997-01-02,14.96,1,0.0
441,1998-06-03,24.48,10,164.01183811870243
442,1997-01-02,14.79,1,0.0
443,1997-01-17,24.99,2,1.8196651445637528
444,1997-01-02,13.97,1,0.0
445,1998-03-22,33.97,8,111.50066191853716
446,1998-06-29,15.49,6,60.796774658460464
447,1997-01-02,19.94,1,0.0
448,1997-01-02,36.71,1,0.0
449,1997-01-18,35.31,2,3.225883770582593
450,1997-06-09,38.9,2,14.835309567566224
451,1997-01-18,24.99,1,0.0
452,1997-03-06,11.77,2,4.248915263438311
453,1997-05-20,123.71,2,34.59123124095955
454,1997-11-10,12.49,4,67.84159547411974
456,1997-11-20,15.49,7,452.3197156412395
457,1997-01-10,131.49,3,13.843574061423665
458,1998-05-12,38.49,6,36.467142925462944
459,1997-01-03,23.99,1,0.0
460,1997-01-22,34.98,2,3.2105383745885394
461,1997-10-28,109.41,2,57.97685830706696
462,1997-01-02,17.3,1,0.0
463,1997-01-11,15.76,2,1.936359319951148
464,1998-06-13,21.57,5,75.5156214023379
465,1997-04-07,42.98,2,14.008309846026327
466,1997-02-27,28.93,2,8.203190118581114
467,1997-01-15,15.96,2,1.303545066051199
468,1997-09-14,25.98,3,64.53483419562043
469,1997-01-02,11.97,1,0.0
470,1997-01-02,15.76,1,0.0
471,1997-02-15,44.36,2,13.5270941098699
472,1997-02-01,32.35,3,24.304662869091807
473,1997-01-02,34.97,1,0.0
474,1998-02-15,43.47,3,15.120959482504635
475,1997-01-02,43.13,1,0.0
476,1997-01-02,13.97,1,0.0
477,1997-01-02,21.99,1,0.0
478,1997-01-02,14.37,1,0.0
479,1997-01-02,17.9,1,0.0
480,1997-01-02,13.99,1,0.0
481,1997-01-02,13.97,1,0.0
482,1997-01-03,15.76,1,0.0
483,1997-01-17,24.99,1,0.0
484,1998-05-31,12.99,5,0.0
485,1998-04-29,82.94,15,639.5073513358274
486,1997-01-02,20.0,1,0.0
487,1997-01-03,11.77,1,0.0
488,1998-01-21,15.49,2,0.0
489,1997-01-17,13.97,2,2.46702975924334
490,1997-11-11,15.99,2,12.522987857640615
491,1997-01-02,15.76,1,0.0
492,1998-06-08,23.76,10,143.86527134523894
493,1997-01-02,28.34,1,0.0
494,1997-01-02,13.77,1,0.0
495,1997-01-05,43.11,2,1.2116797268224415
496,1997-10-22,12.99,2,15.137932646883652
497,1997-01-02,11.77,1,0.0
498,1997-01-25,40.7,2,5.933287247282995
499,1998-06-21,110.38,110,2420.9324050617474
500,1997-01-02,21.74,1,0.0
501,1997-01-02,30.39,1,0.0
502,1997-10-09,16.99,2,13.112673362871876
503,1997-01-02,15.36,1,0.0
504,1997-12-09,138.42,3,118.7892821887921
505,1997-12-26,12.99,3,40.14876012544593
506,1997-03-08,25.78,1,0.0
507,1997-01-02,13.97,1,0.0
508,1997-06-12,10.77,2,8.687861561892378
509,1997-01-02,15.7,1,0.0
510,1997-01-02,11.99,1,0.0
511,1997-01-02,28.76,1,0.0
512,1997-01-02,11.77,1,0.0
513,1997-01-07,12.97,1,0.0
514,1997-01-02,11.77,1,0.0
515,1997-01-02,19.94,1,0.0
516,1997-01-02,14.99,1,0.0
517,1997-01-03,9.98,1,0.0
518,1997-01-03,14.96,1,0.0
519,1998-06-14,17.49,8,104.29827740365843
520,1997-01-03,24.98,1,0.0
521,1997-01-03,27.13,1,0.0
522,1997-01-03,23.99,1,0.0
523,1997-10-24,6.49,5,89.57351583516031
524,1997-01-03,11.99,1,0.0
525,1997-09-12,27.99,2,14.596587113671294
526,1997-01-03,52.68,1,0.0
527,1997-01-08,14.79,1,0.0
528,1997-01-03,71.44,1,0.0
529,1997-01-03,8.97,1,0.0
530,1997-01-03,11.97,1,0.0
531,1997-01-03,58.99,1,0.0
532,1997-01-03,15.9,1,0.0
533,1997-01-03,29.58,1,0.0
534,1997-01-03,11.77,1,0.0
535,1997-02-12,13.97,1,0.0
536,1997-01-03,26.69,1,0.0
537,1997-01-03,14.37,1,0.0
538,1997-01-03,9.99,1,0.0
539,1997-06-17,12.25,2,10.175736442712369
540,1997-01-03,13.97,1,0.0
541,1997-01-03,51.3,1,0.0
542,1997-01-03,45.67,1,0.0
543,1997-01-03,37.98,1,0.0
544,1997-03-06,14.96,1,0.0
545,1997-10-25,92.43,4,215.80816146863117
546,1998-05-28,22.49,5,368.90361556923864
547,1998-05-07,14.49,11,64.95412528950219
548,1998-05-11,12.58,8,32.62885064139126
549,1997-04-16,24.96,2,12.385027550945544
550,1997-01-03,23.95,1,0.0
551,1997-01-03,125.02,1,0.0
552,1997-01-03,24.96,1,0.0
553,1997-01-03,15.75,1,0.0
554,1997-01-07,60.27,1,0.0
555,1997-01-03,39.48,1,0.0
556,1997-01-17,144.83,2,6.534444557008983
557,1997-01-04,29.6,1,0.0
558,1997-01-03,49.67,1,0.0
559,1998-06-01,54.85,3,55.57455827170704
560,1997-01-03,44.97,1,0.0
561,1998-06-09,23.99,11,128.07107605449698
562,1997-06-23,14.96,2,8.530326885353242
563,1997-06-24,23.7,2,14.589175643799017
564,1998-05-31,12.99,24,419.1165394461128
565,1997-04-15,29.33,2,19.490180886084218
566,1998-03-23,25.47,4,81.65895863777588
567,1998-04-27,40.97,5,0.0
568,1998-06-24,28.48,4,8.060285603312296
569,1997-10-28,41.97,3,68.69010069715863
570,1998-01-30,57.55,3,47.69387725000055
571,1997-02-12,9.77,2,4.879270115661497
572,1998-06-16,19.48,7,106.85598104609407
573,1997-10-15,5.98,3,26.51596395677976
574,1997-03-27,13.97,2,8.709641159451031
575,1997-01-03,19.99,1,0.0
576,1997-01-03,14.99,1,0.0
577,1997-01-03,29.99,1,0.0
578,1997-01-03,15.96,1,0.0
579,1997-01-03,13.9,1,0.0
580,1997-01-03,15.36,1,0.0
581,1997-01-03,14.37,1,0.0
582,1997-11-06,24.48,3,70.55789944283394
583,1998-02-09,48.95,6,67.51273810484615
584,1997-01-17,11.77,1,0.0
585,1998-05-16,43.06,12,225.7026179343173
586,1997-11-18,64.95,33,2411.089442728972
587,1997-09-12,25.98,6,166.1241669776833
588,1997-01-03,40.3,1,0.0
589,1997-12-19,41.47,3,56.21149428597885
590,1998-01-06,12.99,2,0.0
591,1998-05-19,12.99,3,0.0
592,1997-04-28,58.43,3,63.415075131992594
593,1998-06-07,39.96,8,97.16059424245842
594,1997-01-17,31.32,1,0.0
595,1997-12-21,15.49,3,59.20124931391211
596,1997-09-20,32.48,3,58.531753943417385
597,1997-06-20,13.97,3,28.17242801814132
598,1997-11-09,37.97,3,53.556192971228896
599,1997-08-31,11.77,2,14.102515251298131
600,1997-01-03,15.36,1,0.0
601,1997-02-06,9.77,2,2.2686798755288407
602,1997-08-01,142.9,3,210.61577344839046
603,1997-01-03,24.13,1,0.0
604,1997-01-03,68.97,1,0.0
605,1997-01-03,53.68,1,0.0
606,1998-03-26,19.99,2,0.0
607,1997-01-03,81.96,1,0.0
608,1998-06-05,59.95,6,22.38183576184328
609,1997-12-08,41.99,8,388.1815820255314
610,1998-05-21,63.96,4,30.848159884417182
611,1997-10-08,13.99,2,11.438765736968017
612,1997-01-03,12.49,1,0.0
613,1997-06-16,19.99,3,33.36067210481323
614,1998-04-03,13.98,4,2.0960558677703323
615,1997-01-27,14.79,2,3.4627221269226243
616,1998-06-04,14.99,3,12.10259767436909
617,1997-01-03,29.92,1,0.0
618,1997-06-20,30.92,2,18.71622662859151
619,1998-05-19,22.99,36,803.9501551754843
620,1997-01-03,13.77,1,0.0
621,1997-01-14,14.37,2,1.2858902551433091
622,1997-01-03,59.97,1,0.0
623,1997-01-03,32.72,1,0.0
624,1997-10-22,33.98,6,166.45752568052302
625,1997-10-24,29.48,2,15.77628789271189
626,1998-05-19,53.13,4,94.51555697761937
627,1997-01-03,15.76,1,0.0
628,1997-01-03,21.99,1,0.0
629,1998-05-01,68.96,6,111.45737630872034
630,1997-01-03,37.47,1,0.0
631,1998-04-15,12.58,3,0.0
632,1997-02-07,13.97,2,2.913415734118848
633,1997-07-25,23.54,6,171.9703230127564
634,1997-02-08,13.97,1,0.0
635,1998-04-26,49.97,8,334.8054508126033
636,1997-01-03,27.92,1,0.0
637,1997-01-03,12.97,1,0.0
638,1998-06-03,12.49,2,0.0
639,1997-01-08,13.97,2,0.7633571165566141
640,1997-01-03,15.36,1,0.0
641,1997-01-03,35.12,1,0.0
642,1997-01-14,16.99,1,0.0
643,1998-04-30,20.26,10,63.04006060296006
644,1997-01-03,9.77,1,0.0
645,1998-03-19,36.99,4,44.299718682318364
646,1998-02-10,12.99,3,11.05815938585876
647,1997-06-30,58.0,2,18.500124516637467
648,1997-01-10,44.98,2,2.759746232765727
649,1997-12-08,33.98,2,18.851979639807716
650,1997-01-03,15.36,1,0.0
651,1997-01-03,24.99,1,0.0
652,1997-01-03,11.77,1,0.0
653,1998-04-23,30.98,4,59.355459692515176
654,1997-04-28,39.11,2,14.492735827924681
655,1997-05-31,29.92,2,15.079966279183015
656,1998-04-11,20.98,3,0.0
657,1997-01-03,71.49,1,0.0
658,1997-01-03,14.96,1,0.0
659,1998-06-03,65.46,17,368.02870169930895
660,1997-01-03,9.97,1,0.0
661,1997-01-03,12.77,1,0.0
662,1998-03-12,21.49,5,47.33962457179077
663,1998-06-22,24.98,11,63.63329133455396
664,1997-01-03,23.54,1,0.0
665,1997-01-03,11.97,1,0.0
666,1997-06-21,33.51,2,12.484785475553501
